time,q05,q10,q20,q30,q40,q50,q60,q70,q80,q90,q95,y_true
2020-11-03 16:45,17447.294921875,18196.75,19192.13671875,19543.2421875,19908.9453125,20110.98046875,20407.919921875,20733.916015625,21146.79296875,21948.71875,22796.791015625,19886.732
2020-11-03 17:00,15169.34765625,15777.8671875,16388.1171875,16662.85546875,16839.7578125,17001.16796875,17214.984375,17433.98828125,17753.521484375,18403.3984375,19169.0390625,16566.266
2020-11-03 17:15,11653.8369140625,12186.43359375,12676.5712890625,12889.4072265625,13033.060546875,13260.6455078125,13457.3203125,13661.93359375,14022.548828125,14578.51953125,15206.28515625,13092.732
2020-11-03 17:30,8386.478515625,8826.7900390625,9188.0498046875,9314.9599609375,9472.00390625,9628.322265625,9796.7568359375,9964.3720703125,10253.453125,10755.8359375,11238.8466796875,8932.0
2020-11-03 17:45,4397.10546875,4647.27685546875,4924.28271484375,5148.1767578125,5283.14013671875,5417.89599609375,5605.6669921875,5753.12646484375,6030.28955078125,6476.34228515625,6849.57421875,4299.7993
2020-11-03 18:00,1495.98779296875,1581.59619140625,1728.3271484375,2002.78173828125,2044.73779296875,2218.34033203125,2290.51904296875,2403.53466796875,2666.400390625,2934.02783203125,3137.06689453125,1601.5991
2020-11-03 18:15,306.3525390625,335.1025390625,412.791015625,626.33203125,631.4794921875,752.15234375,752.15234375,776.7314453125,1034.14453125,1119.2841796875,1126.78515625,267.0664
2020-11-04 08:30,0.0,0.0,29.5654296875,184.6357421875,226.001953125,348.2177734375,391.984375,486.63671875,743.462890625,932.0380859375,932.0380859375,496.5996
2020-11-04 08:45,625.3486328125,844.724609375,1029.2236328125,1204.482421875,1334.890625,1457.6953125,1590.8896484375,1644.00439453125,1956.3173828125,2224.0263671875,2256.251953125,1873.7319
2020-11-04 09:00,2907.31201171875,3388.837890625,3621.9091796875,3879.919921875,4125.771484375,4283.9365234375,4503.28173828125,4573.7724609375,4941.0244140625,5321.4462890625,5482.900390625,4895.4663
2020-11-04 09:15,7095.1162109375,7798.4169921875,8221.587890625,8669.0380859375,8881.990234375,9249.076171875,9386.447265625,9582.896484375,9880.583984375,10323.892578125,10639.298828125,9596.933
2020-11-04 09:30,11644.4150390625,12422.306640625,13213.5947265625,13592.404296875,13870.0859375,14203.775390625,14262.4296875,14507.447265625,14783.76171875,15266.7421875,15474.6826171875,13864.332
2020-11-04 09:45,15710.6611328125,16293.525390625,17054.326171875,17107.86328125,17362.09375,17500.41796875,17526.34765625,17662.18359375,17747.21484375,18213.63671875,18255.125,17456.598
2020-11-04 10:00,19791.86328125,20227.77734375,20669.49609375,20763.4375,20887.74609375,21076.529296875,21076.529296875,21173.640625,21211.578125,21465.390625,21544.7109375,20736.197
2020-11-04 10:15,22885.6015625,23303.921875,23662.8125,23835.12109375,23962.478515625,24126.20703125,24149.30859375,24294.482421875,24377.953125,24645.76171875,24821.234375,23764.398
2020-11-04 10:30,25774.119140625,26194.171875,26510.62109375,26644.9296875,26753.03515625,26856.98828125,26881.0390625,27009.8515625,27102.62109375,27373.8515625,27574.78125,26491.734
2020-11-04 10:45,28273.89453125,28711.70703125,29006.61328125,29109.55859375,29186.80859375,29284.671875,29295.7890625,29423.42578125,29510.62109375,29759.90234375,29967.16015625,29011.73
2020-11-04 11:00,30376.59375,30845.69140625,31161.95703125,31253.546875,31313.43359375,31444.32421875,31457.57421875,31619.41796875,31705.73046875,31941.59765625,32183.03515625,31149.664
2020-11-04 11:15,31825.91015625,32379.44921875,32764.12109375,32905.71484375,32981.796875,33155.96875,33194.7265625,33410.6484375,33531.0859375,33786.02734375,34101.99609375,33011.73
2020-11-04 11:30,33463.00390625,34016.50390625,34361.6484375,34499.05859375,34560.4921875,34719.1171875,34719.1171875,34941.97265625,35058.51953125,35290.98046875,35644.75,33269.93
2020-11-04 11:45,32574.234375,33325.0,33935.52734375,34312.60546875,34471.18359375,34738.53125,34888.44921875,35270.18359375,35546.9921875,35908.35546875,36403.0078125,27838.465
2020-11-04 12:00,17306.509765625,19109.4453125,22467.82421875,23961.33203125,25512.71484375,26783.9453125,28261.921875,30043.97265625,31583.9140625,33131.66796875,34534.984375,22087.0
2020-11-04 12:15,14869.818359375,15605.765625,17047.63671875,18067.671875,19415.076171875,20165.73828125,21441.66015625,22423.525390625,24092.591796875,26818.56640625,28666.86328125,19305.732
2020-11-04 12:30,14240.400390625,14617.5830078125,15577.541015625,16057.494140625,16531.650390625,17002.3125,17471.39453125,17616.162109375,18621.84765625,20100.58203125,21333.69140625,18018.865
2020-11-04 12:45,15128.88671875,15735.26171875,16620.10546875,17158.705078125,17187.662109375,17633.578125,17702.427734375,17792.9765625,18108.07421875,18796.484375,19673.0,16055.332
2020-11-04 13:00,13738.8701171875,14228.87109375,14931.9111328125,15592.35546875,15629.953125,16103.888671875,16137.0048828125,16253.087890625,16535.45703125,16868.65234375,17720.501953125,14726.732
2020-11-04 13:15,13279.17578125,13837.3759765625,14414.8916015625,14875.7421875,14929.044921875,15387.658203125,15396.5986328125,15554.4775390625,15780.595703125,15928.583984375,16554.75390625,12719.799
2020-11-04 13:30,10597.87109375,11323.8671875,11940.2802734375,12591.529296875,12655.6171875,13203.587890625,13246.751953125,13447.947265625,13735.96875,13835.791015625,14561.734375,11160.399
2020-11-04 13:45,9452.064453125,10112.21484375,10615.7177734375,11172.6708984375,11172.6708984375,11595.669921875,11595.669921875,11688.4951171875,12026.791015625,12155.220703125,12724.6044921875,10242.6
2020-11-04 14:00,8587.24609375,9135.8974609375,9579.5068359375,10048.458984375,10062.822265625,10442.44921875,10460.3515625,10603.345703125,10956.81640625,11207.3916015625,11808.44921875,9415.066
2020-11-04 14:15,7898.2578125,8343.0693359375,8739.3388671875,9160.3779296875,9221.369140625,9534.169921875,9586.5537109375,9748.341796875,10106.353515625,10455.685546875,11124.7666015625,6397.2656
2020-11-04 14:30,5277.14990234375,5849.8642578125,6214.4853515625,6638.2724609375,6638.4287109375,6836.78125,6961.03173828125,7123.345703125,7403.7763671875,7761.11181640625,8445.2197265625,5824.7324
2020-11-04 14:45,5504.09521484375,5866.06640625,6126.69091796875,6298.6005859375,6298.6005859375,6347.96044921875,6472.5966796875,6527.673828125,6880.5244140625,7325.41845703125,7853.54931640625,5811.5996
2020-11-04 15:00,5157.31396484375,5451.45654296875,5698.4296875,5972.09375,5977.3544921875,5987.0380859375,6159.2802734375,6259.279296875,6645.4267578125,7175.619140625,7836.7509765625,6007.0664
2020-11-04 15:15,5316.408203125,5545.9599609375,5760.529296875,6041.2490234375,6131.50390625,6131.50390625,6350.9072265625,6476.71875,6926.39697265625,7575.81982421875,8312.9453125,6079.7324
2020-11-04 15:30,5338.73095703125,5528.23779296875,5738.7685546875,6025.36083984375,6147.1875,6147.1875,6353.0126953125,6449.37109375,6880.0703125,7562.94384765625,8407.1220703125,5905.2666
2020-11-04 15:45,5209.158203125,5369.65673828125,5574.5830078125,5872.1962890625,5975.62353515625,5975.62353515625,6170.71142578125,6249.447265625,6667.5068359375,7345.939453125,8237.5986328125,5582.7324
2020-11-04 16:00,4925.72265625,5090.65234375,5271.05419921875,5579.9033203125,5690.7001953125,5690.7001953125,5907.33251953125,6001.01171875,6418.19287109375,7145.4169921875,8064.2197265625,6196.799
2020-11-04 16:15,5403.73193359375,5719.7802734375,6010.0,6397.599609375,6725.97705078125,6725.97705078125,7145.943359375,7422.021484375,7970.7890625,8997.59765625,9957.06640625,7822.3994
2020-11-04 16:30,6740.30078125,7245.44921875,7718.49365234375,8287.177734375,8830.67578125,8938.05078125,9513.5693359375,10103.21484375,10767.9912109375,12219.3828125,13426.8212890625,10602.533
2020-11-04 16:45,9852.08984375,10548.0390625,11170.12109375,12071.08203125,12627.3017578125,12929.6650390625,13499.7568359375,14380.865234375,15176.8154296875,16883.154296875,18449.390625,14674.932
2020-11-04 17:00,13957.55078125,14905.326171875,15670.7724609375,17014.021484375,17547.41015625,18009.265625,18402.43359375,19343.166015625,20271.6015625,21772.8046875,23563.0078125,15643.199
2020-11-04 17:15,13143.236328125,13741.39453125,14217.5712890625,15011.615234375,15224.091796875,15609.3564453125,15876.890625,16277.265625,16806.544921875,17881.23046875,19169.02734375,12303.598
2020-11-04 17:30,7205.8076171875,7548.4306640625,8243.61328125,8932.138671875,9158.806640625,9749.2744140625,10221.208984375,10665.265625,11463.45703125,12460.19140625,13498.810546875,6757.9995
2020-11-04 17:45,2881.9501953125,2991.72216796875,3330.732421875,3747.76123046875,3875.6875,4204.02880859375,4581.8251953125,4987.84130859375,5603.31494140625,6505.54443359375,7305.2607421875,3831.0664
